charging_station_name,city,state,zipcode,street_address
"Athens, AL Supercharger",AL,No zipcode,21282 Athens-Limestone Blvd,Athens
Auburn Alabama Supercharger,AL,36830,1627 Opelika Road,Auburn
"Birmingham, AL Supercharger",AL,35203-1103,2221 Richard Arrington Junior Blvd,Birmingham
"Dothan, AL (coming soon)",AL,No zipcode,No address given,Dothan
Greenville Supercharger,AL,36037,219 Interstate Drive,Greenville
Mobile Supercharger,AL,36606,3201 Airport Blvd,Mobile
"Montgomery, AL (coming soon)",AL,No zipcode,No address given,Montgomery
"Oxford, AL Supercharger",AL,36203-0000,1105 Oxford Exchange Blvd,Oxford
Steele Supercharger,AL,35987,905 Steele Station Road,Steele
"Tuscaloosa, AL (coming soon)",AL,No zipcode,No address given,Tuscaloosa
"Anchorage, AK (coming soon)",AK,No zipcode,No address given,Anchorage
"Buckeye, AZ Supercharger",AZ,85326,416 S Watson Rd,Buckeye
"Casa Grande, AZ Supercharger",AZ,85194,2453 E. Florence Blvd.,Casa Grande
"Cordes Lakes, AZ Supercharger",AZ,86333,14925 Cordes Lakes Rd,Mayer
"Ehrenberg, AZ Supercharger",AZ,85334,11 Frontage Road North,Ehrenberg
"Flagstaff, AZ Supercharger",AZ,86001,2650 South Beulah Blvd,Flagstaff
"Gila Bend, AZ Supercharger",AZ,85337,826 W Pima St.,Gila Bend
"Globe, AZ (coming soon)",AZ,No zipcode,No address given,Globe
"Holbrook, AZ Supercharger",AZ,86025,2096 Navajo Blvd,Holbrook
"Kayenta, AZ (coming soon)",AZ,No zipcode,No address given,Kayenta
"Kingman, AZ Supercharger",AZ,86401,789 W Beale St,Kingman
"New River, AZ Supercharger",AZ,85087,3906 West New River Road,New River
Page Supercharger,AZ,86040,600 Clubhouse Drive,Page
"Payson, AZ Supercharger",AZ,85541,142 AZ-260,Payson
"Phoenix, AZ (coming soon)",AZ,No zipcode,No address given,Phoenix
"Phoenix, AZ - Agua Fria Freeway Supercharger",No state,85027-3938,2805 Agua Fria Fwy,Phoenix
"Phoenix, AZ - East Camelback Road Supercharger",No state,85016-4254,2502 East Camelback Road,Phoenix
"Quartzsite, AZ Supercharger",AZ,85346,1451 West Main St,Quartzsite
"Scottsdale, AZ - N. Scottsdale Road Supercharger",AZ,85254-2421,15059 N. Scottsdale Rd,Scottsdale
